8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-202|Final written expression: parol or extrinsic evidence.|<p>Terms with respect to which the confirmatory memoranda of the parties agree or which are otherwise set forth in a writing intended by the parties as a final expression of their agreement with respect to such terms as are included therein may not be contradicted by evidence of any prior agreement or of a contemporaneous oral agreement but may be explained or supplemented:</p><p>(a) by course of dealing or usage of trade or by course of performance; and</p><p>(b) by evidence of consistent additional terms unless the court finds the writing to have been intended also as a complete and exclusive statement of the terms of the agreement.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-203|Seals inoperative.|<p>The affixing of a seal to a writing evidencing a lease contract or an offer to enter into a lease contract does not render the writing a sealed instrument and the law with respect to sealed instruments does not apply to the lease contract or offer.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-204|Formation in general.|<p>(1) A lease contract may be made in any manner sufficient to show agreement, including conduct by both parties which recognizes the existence of a lease contract.</p><p>(2) An agreement sufficient to constitute a lease contract may be found although the moment of its making is undetermined.</p><p>(3) Although one or more terms are left open, a lease contract does not fail for indefiniteness if the parties have intended to make a lease contract and there is a reasonably certain basis for giving an appropriate remedy.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-205|Firm offers.|<p>An offer by a merchant to lease goods to or from another person in a signed writing that by its terms gives assurance it will be held open is not revocable, for lack of consideration, during the time stated or, if no time is stated, for a reasonable time, but in no event may the period of irrevocability exceed three months. Any such term of assurance on a form supplied by the offeree must be separately signed by the offeror.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-206|Offer and acceptance in formation of lease contract.|<p>(1) Unless otherwise unambiguously indicated by the language or circumstances, an offer to make a lease contract must be construed as inviting acceptance in any manner and by any medium reasonable in the circumstances.</p><p>(2) If the beginning of a requested performance is a reasonable mode of acceptance, an offeror who is not notified of acceptance within a reasonable time may treat the offer as having lapsed before acceptance.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-207|Repealed.|<p>Repealed by Acts 2003, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?031+ful+CHAP0353'>353</a>.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-208|Modification, rescission and waiver.|<p>(1) An agreement modifying a lease contract needs no consideration to be binding.</p><p>(2) A signed lease agreement that excludes modification or rescission except by a signed writing may not be otherwise modified or rescinded, but, except as between merchants, such a requirement on a form supplied by a merchant must be separately signed by the other party.</p><p>(3) Although an attempt at modification or rescission does not satisfy the requirements of subsection (2) of this section, it may operate as a waiver.</p><p>(4) A party who has made a waiver affecting an executory portion of a lease contract may retract the waiver by reasonable notification received by the other party that strict performance will be required of any term waived, unless the retraction would be unjust in view of a material change of position in reliance on the waiver.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-209|Lessee under finance lease as beneficiary of supply contract.|<p>(1) The benefit of a supplier's promises to the lessor including those of any third party provided in connection with or as part of the supply contract and of all warranties, whether express or implied, under the supply contract, extends to the lessee to the extent of the lessee's leasehold interest under a finance lease related to the supply contract, but is subject to the terms of the warranty and of the supply contract and all defenses or claims arising therefrom.</p><p>(2) The extension of the benefit of a supplier's promises and of warranties to the lessee (§ <a href='http://law.lis.virginia.gov/vacode/8.2A-209/'>8.2A-209</a> (1) ) does not: (i) modify the rights and obligations of the parties to the supply contract, whether arising therefrom or otherwise, or (ii) impose any duty or liability under the supply contract on the lessee.</p><p>(3) Any modification or rescission of the supply contract by the supplier and the lessor is effective between the supplier and the lessee unless, before the modification or rescission, the supplier has received notice that the lessee has entered into a finance lease related to the supply contract. If the modification or rescission is effective between the supplier and the lessee, the lessor is deemed to have assumed, in addition to the obligations of the lessor to the lessee under the lease contract, promises of the supplier to the lessor and warranties that were so modified or rescinded as they existed and were available to the lessee before modification or rescission.</p><p>(4) In addition to the extension of the benefit of the supplier's promises and of warranties to the lessee under subsection (1) of this section, the lessee retains all rights that the lessee may have against the supplier which arise from an agreement between the lessee and the supplier or under other law.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-210|Express warranties.|<p>(1) Express warranties by the lessor are created as follows:</p><p>(a) Any affirmation of fact or promise made by the lessor to the lessee which relates to the goods and becomes part of the basis of the bargain creates an express warranty that the goods will conform to the affirmation or promise.</p><p>(b) Any description of the goods which is made part of the basis of the bargain creates an express warranty that the goods will conform to the description.</p><p>(c) Any sample or model that is made part of the basis of the bargain creates an express warranty that the whole of the goods will conform to the sample or model.</p><p>(2) It is not necessary to the creation of an express warranty that the lessor use formal words, such as "warrant" or "guarantee," or that the lessor have a specific intention to make a warranty, but an affirmation merely of the value of the goods or a statement purporting to be merely the lessor's opinion or commendation of the goods does not create a warranty.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-211|Warranties against interference and against infringement; lessee's obligation against infringement.|<p>(1) There is in a lease contract a warranty that for the lease term no person holds a claim to or interest in the goods that arose from an act or omission of the lessor, other than a claim by way of infringement or the like, which will interfere with the lessee's enjoyment of its leasehold interest.</p><p>(2) Except in a finance lease there is in a lease contract by a lessor who is a merchant regularly dealing in goods of the kind a warranty that the goods are delivered free of the rightful claim of any person by way of infringement or the like.</p><p>(3) A lessee who furnishes specifications to a lessor or a supplier shall hold the lessor and the supplier harmless against any claim by way of infringement or the like that arises out of compliance with the specifications.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-212|Implied warranty of merchantability.|<p>(1) Except in a finance lease, a warranty that the goods will be merchantable is implied in a lease contract if the lessor is a merchant with respect to goods of that kind.</p><p>(2) Goods to be merchantable must be at least such as;</p><p>(a) Pass without objection in the trade under the description in the lease agreement;</p><p>(b) In the case of fungible goods, are of fair average quality within the description;</p><p>(c) Are fit for the ordinary purposes for which goods of that type are used;</p><p>(d) Run, within the variation permitted by the lease agreement, of even kind, quality, and quantity within each unit and among all units involved;</p><p>(e) Are adequately contained, packaged, and labeled as the lease agreement may require; and</p><p>(f) Conform to any promises or affirmations of fact made on the container or label.</p><p>(3) Other implied warranties may arise from course of dealing or usage of trade.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-213|Implied warranty of fitness for particular purpose.|<p>Except in a finance lease, if the lessor at the time the lease contract is made has reason to know of any particular purpose for which the goods are required and that the lessee is relying on the lessor's skill or judgment to select or furnish suitable goods, there is in the lease contract an implied warranty that the goods will be fit for that purpose.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-214|Exclusion or modification of warranties.|<p>(1) Words or conduct relevant to the creation of an express warranty and words or conduct tending to negate or limit a warranty must be construed wherever reasonable as consistent with each other; but, subject to the provisions of § <a href='http://law.lis.virginia.gov/vacode/8.2A-202/'>8.2A-202</a> on parol or extrinsic evidence, negation or limitation is inoperative to the extent that the construction is unreasonable.</p><p>(2) Subject to subsection (3) of this section, to exclude or modify the implied warranty of merchantability or any part of it the language must mention "merchantability," be by a writing, and be conspicuous. Subject to subsection (3) in this section, to exclude or modify any implied warranty of fitness the exclusion must be by a writing and be conspicuous. Language to exclude all implied warranties of fitness is sufficient if it is in writing, is conspicuous and states, for example, "There is no warranty that the goods will be fit for a particular purpose."</p><p>(3) Notwithstanding subsection (2) of this section, but subject to subsection (4) of this section,</p><p>(a) unless the circumstances indicate otherwise, all implied warranties are excluded by expressions like "as is," or "with all faults," or by other language that in common understanding calls the lessee's attention to the exclusion of warranties and makes plain that there is no implied warranty, if in writing and conspicuous;</p><p>(b) if the lessee before entering into the lease contract has examined the goods or the sample or model as fully as desired or has refused to examine the goods, there is no implied warranty with regard to defects that an examination ought in the circumstances to have revealed; and</p><p>(c) an implied warranty may also be excluded or modified by course of dealing, course of performance, or usage of trade.</p><p>(4) To exclude or modify a warranty against interference or against infringement (§ <a href='http://law.lis.virginia.gov/vacode/8.2A-211/'>8.2A-211</a>) or any part of it, the language must be specific, be by a writing, and be conspicuous, unless the circumstances, including course of performance, course of dealing, or usage of trade, give the lessee reason to know that the goods are being leased subject to a claim or interest of any person.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-215|Cumulation and conflict of warranties express or implied.|<p>Warranties, whether express or implied, must be construed as consistent with each other and as cumulative, but if that construction is unreasonable, the intention of the parties determines which warranty is dominant. In ascertaining that intention the following rules apply:</p><p>(a) Exact or technical specifications displace an inconsistent sample or model or general language of description.</p><p>(b) A sample from an existing bulk displaces inconsistent general language of description.</p><p>(c) Express warranties displace inconsistent implied warranties other than an implied warranty of fitness for a particular purpose.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-216|Third-party beneficiaries of express and implied warranties.|<p>Lack of privity between the plaintiff and the defendant shall be no defense in any action brought against the manufacturer or lessor of goods, other than as lessor under a finance lease, to recover damages for breach of warranty, express or implied, or for negligence, although the plaintiff did not lease the goods from the defendant, if the plaintiff was a person whom the manufacturer or lessor might reasonably have expected to use, consume, or be affected by the goods.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-217|Identification.|<p>Identification of goods as goods to which a lease contract refers may be made at any time and in any manner explicitly agreed to by the parties. In the absence of explicit agreement, identification occurs when:</p><p>(a) The lease contract is made if the lease contract is for a lease of goods that are existing and identified;</p><p>(b) The goods are shipped, marked, or otherwise designated by the lessor as goods to which the lease contract refers, if the lease contract is for a lease of goods that are not existing and identified; or</p><p>(c) The young are conceived, if the lease contract is for a lease of unborn young of animals.</p><p>1991, c. 536.</p>
8.2A|COMMERCIAL CODE — LEASES|||2|FORMATION AND CONSTRUCTION OF LEASE CONTRACT|||||||§ 8.2A-218|Insurance and proceeds.|<p>(1) A lessee obtains an insurable interest when existing goods are identified to the lease contract even though the goods identified are nonconforming and the lessee has an option to reject them.</p><p>(2) If a lessee has an insurable interest only by reason of the lessor's identification of the goods, the lessor, until default or insolvency or notification to the lessee that identification is final, may substitute other goods for those identified.</p><p>(3) Notwithstanding a lessee's insurable interest under subsections (1) and (2) of this section, the lessor retains an insurable interest until an option to buy has been exercised by the lessee and risk of loss has passed to the lessee.</p><p>(4) Nothing in this section impairs any insurable interest recognized under any other statute or rule of law.</p><p>(5) The parties by agreement may determine that one or more parties have an obligation to obtain and pay for insurance covering the goods and by agreement may determine the beneficiary of the proceeds of the insurance.</p><p>1991, c. 536.</p>
