20|DOMESTIC RELATIONS|||||1|PRE-MARITAL SYPHILIS TESTS AND EXAMINATIONS [Repealed]|||||§§ 20-1 through 20-12|Repealed.|<p>Repealed by Acts 1984, c. 140.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-21|Clerk to furnish attorney for the Commonwealth list of licenses not returned by minister.|<p>It shall be the duty of every clerk issuing marriage licenses no later than March 31 of each year to furnish to the attorney for the Commonwealth of his county or city a list of all marriage licenses issued during the preceding calendar year that have not been returned by the minister or other person celebrating the marriage.</p><p>Code 1919, § 5074; 1928, p. 314; 1938, p. 151; 2000, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP0031'>31</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?001+ful+CHAP0214'>214</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-22|Attorney for the Commonwealth to ascertain before circuit court name of minister failing to return certificates.|<p>It shall be the duty of the attorney for the Commonwealth for each county and city, upon the receipt from the clerk of the list required by § <a href='http://law.lis.virginia.gov/vacode/20-21/'>20-21</a>, to have such person or persons as he may think proper summoned before the circuit court of his county or city to ascertain the name of the minister or other person celebrating such marriage and failing to return the license and certificates to the clerk as required by § <a href='http://law.lis.virginia.gov/vacode/32.1-267/'>32.1-267</a>.</p><p>Code 1919, § 5074; 1928, p. 314; 1938, p. 151; 1979, c. 502.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-23|Order authorizing ministers to perform ceremony.|<p>When a minister of any religious denomination produces before the circuit court of any county or city in the Commonwealth, or before the judge of such court or before the clerk of such court at any time, proof of his ordination and of his being in regular communion with the religious society of which he is a reputed member, or proof that he is commissioned to pastoral ministry or holds a local minister's license and is serving as a regularly appointed pastor in his denomination, such court, or the judge thereof, or the clerk of such court at any time, may make an order authorizing such minister to celebrate the rites of matrimony in the Commonwealth. Any order made under this section may be rescinded at any time by the court or by the judge thereof. No oath shall be required of a minister authorized to celebrate the rites of matrimony, nor shall such minister be considered an officer of the Commonwealth by virtue of such authorization.</p><p>Code 1919, §§ 5079, 5080; 1962, c. 362; 1980, c. 154; 1981, c. 295; 2012, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0565'>565</a>; 2016, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0611'>611</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-24|Penalty for failure to certify record of marriage.|<p>If any minister, authorized to celebrate rites of marriage under § <a href='http://law.lis.virginia.gov/vacode/20-23/'>20-23</a>, shall fail to comply with § <a href='http://law.lis.virginia.gov/vacode/32.1-267/'>32.1-267</a>, he shall be subject to forfeit twenty-five dollars.</p><p>Code 1919, § 5093; 1979, c. 502; 1981, c. 298.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-25|Persons other than ministers who may perform rites.|<p>Upon petition filed with the clerk and payment of applicable clerk's fees, any circuit court judge may issue an order authorizing one or more persons resident in the circuit in which the judge sits to celebrate the rites of marriage in the Commonwealth. Any person so authorized shall, before acting, enter into bond in the penalty of $500, with or without surety, as the court may direct. Any order made under this section may be rescinded at any time. No oath shall be required of a person authorized to celebrate the rites of marriage, nor shall such person be considered an officer of the Commonwealth by virtue of such authorization.</p><p>Any judge or justice of a court of record, any judge of a district court, any retired judge or justice of the Commonwealth, any active, senior, or retired federal judge or justice who is a resident of the Commonwealth, and any current (i) member of the General Assembly, (ii) Governor of Virginia, (iii) Lieutenant Governor of Virginia, and (iv) Attorney General of Virginia may celebrate the rites of marriage anywhere in the Commonwealth without the necessity of bond or order of authorization.</p><p>Code 1919, § 5080; 1938, c. 152; 1981, c. 295; 1981, Sp. Sess., c. 15; 1983, c. 64; 1985, c. 195; 1987, c. 149; 2003, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?031+ful+CHAP0228'>228</a>; 2004, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0612'>612</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?041+ful+CHAP0680'>680</a>; 2012, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?121+ful+CHAP0802'>802</a>; 2016, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0611'>611</a>; 2021, Sp. Sess. I, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?212+ful+CHAP0087'>87</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-26|Marriage between members of religious society having no minister.|<p>Marriages between persons belonging to any religious society which has no ordained minister, may be solemnized by the persons and in the manner prescribed by and practiced in any such society. One person chosen by the society shall be responsible for completing the certification of marriage in the same manner as a minister or other person authorized to perform marriages; such person chosen by the society for this purpose shall be required to execute a bond in the penalty of $500, with surety. No oath shall be required of a person authorized to celebrate the rites of marriage, nor shall such person be considered an officer of the Commonwealth by virtue of such authorization.</p><p>Code 1919, § 5081; 1968, c. 318; 1981, c. 295; 2016, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0611'>611</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-27|Fee for celebrating marriage.|<p>Any person authorized under § <a href='/vacode/20-25/'>20-25</a> to celebrate the rites of marriage shall be permitted to charge the parties a fee for the ceremony not to exceed $75 for each ceremony. Such person and parties may negotiate payment for any additional services agreed to by the celebrant and the parties. Additionally, such person shall be permitted to charge the parties travel expenses to and from the marriage site. If conveyance is by public transportation, reimbursement shall be at the actual cost thereof. If conveyance is by private transportation, reimbursement shall be at the rate specified in the current general appropriations act of the Commonwealth. In either event, the actual cost of the ceremony together with travel expenses shall be given to the parties at least three days prior to the marriage ceremony.</p><p>Code 1919, § 5083; 1970, c. 362; 1975, c. 644; 1993, cc. 941, 966; 2006, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?061+ful+CHAP0625'>625</a>; 2014, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?141+ful+CHAP0529'>529</a>; 2020, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0181'>181</a>.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-28|Penalty for celebrating marriage without license.|<p>If any person knowingly perform the ceremony of marriage without lawful license, or officiate in celebrating the rites of marriage without being authorized by law to do so, he shall be confined in jail not exceeding one year, and fined not exceeding $500.</p><p>Code 1919, § 4542.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-29|Repealed.|<p>Repealed by Acts 1975, c. 644.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-30|Licenses of persons on federal reservations.|<p>The clerks of the circuit courts of any counties or their deputies and the clerks of the circuit courts of any cities or their deputies are authorized to issue marriage licenses in conformity with the law now governing the same, to any persons desiring to be married on any of the government reservations of this Commonwealth, lying within their respective counties and which reservations were before the acquisition thereof part of the political territory of this Commonwealth, and any marriage ceremony performed on such reservations shall be as legal to all intents and purposes as if performed in any county or city of the Commonwealth, if the person performing the ceremony was qualified to so act.</p><p>All marriages heretofore solemnized within the limits of any such reservations are hereby ratified and legalized to all intents and purposes as if performed in any county or city of the Commonwealth.</p><p>1930, p. 701; Michie Code 1942, § 5077a.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-31|Belief of parties in lawful marriage validates certain defects.|<p>No marriage solemnized under a license issued in this Commonwealth by any person professing to be authorized to solemnize the same shall be deemed or adjudged to be void, nor shall the validity thereof be in any way affected on account of any want of authority in such person, or any defect, omission or imperfection in such license, if the marriage be in all other respects lawful, and be consummated with a full belief on the part of the persons so married, or either of them, that they have been lawfully joined in marriage.</p><p>Code 1919, § 5082.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-31.1|When marriage legitimates children; issue of marriages prohibited by law, etc., legitimate.|<p>If a person, having had a child, shall afterwards intermarry with the mother or father, such child if recognized by both of them, as their own child, jointly or separately, before or after marriage, shall be deemed legitimate.</p><p>The issue of marriages prohibited by law, deemed null or void or dissolved by a court shall nevertheless be legitimate.</p><p>1978, c. 647.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-32|Repealed.|<p>Repealed by Acts 2010, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?101+ful+CHAP0352'>352</a>, cl. 2.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-33|Penalty for clerk issuing license contrary to law.|<p>If any clerk of a court knowingly issue a marriage license contrary to law, he shall be confined in jail not exceeding one year, and fined not exceeding $500.</p><p>Code 1919, § 4541.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§§ 20-34 through 20-36|Repealed.|<p>Repealed by Acts 1968, c. 318.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-37|Validation of certain marriages when license issued by clerk of county court.|<p>All marriages of females residing within jurisdiction of a corporation court, which were solemnized prior to February 1, 1904, by virtue of a license issued by the clerk of the court of the county wherein a city was or is situated, shall be as valid as if such license had been issued by the clerk of such corporation court.</p><p>Code 1919, § 5073.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-37.1|Validation of certain marriages solemnized outside of Commonwealth.|<p>All marriages heretofore solemnized outside this Commonwealth by a minister authorized to celebrate the rites of marriage in this Commonwealth, under a license issued in this Commonwealth, and showing on the application therefor the place out of this Commonwealth where said marriage is to be performed, shall be valid as if such marriage had been performed in this Commonwealth.</p><p>1952, c. 133.</p>
20|DOMESTIC RELATIONS|||||2|MARRIAGE GENERALLY|||||§ 20-37.2|Repealed.|<p>Repealed by Acts 1977, c. 624.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-38|Repealed.|<p>Repealed by Acts 1975, c. 644.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-38.1|Certain marriages prohibited.|<p>The following marriages are prohibited:</p><p>1. A marriage entered into prior to the dissolution of an earlier marriage of one of the parties;</p><p>2. A marriage between an ancestor and descendant, or between siblings, whether the relationship is by the half or the whole blood or by adoption;</p><p>3. A marriage between an uncle or aunt and a nephew or niece, whether the relationship is by the half or the whole blood.</p><p>1975, c. 644; 1978, c. 647; 2020, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0900'>900</a>.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-39|Prohibition continues notwithstanding dissolution of previous marriage.|<p>In the cases mentioned in § <a href='http://law.lis.virginia.gov/vacode/20-38.1/'>20-38.1</a>, in which the relationship is founded on a marriage, the prohibition shall continue in force, notwithstanding the dissolution of such marriage by death or by divorce, unless the divorce be for a cause which made the marriage originally unlawful or void.</p><p>Code 1919, § 5086; 1976, c. 356.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-40|Punishment for violation of such prohibition; leaving Commonwealth to avoid.|<p>If any person marry in violation of § <a href='/vacode/20-38.1/'>20-38.1</a>, he shall be confined in jail not exceeding six months, or fined not exceeding $500, in the discretion of the jury. If any persons, resident in the Commonwealth and within the degrees of relationship mentioned in that section, shall go out of the Commonwealth for the purpose of being married, and with the intention of returning, and be married out of it, and afterwards return to and reside in it, cohabiting as a married couple, they shall be punished as provided in this section, and the marriage shall be governed by the same law as if it had been solemnized in the Commonwealth. The fact of such cohabitation here shall be evidence of such marriage. Venue for a violation of this section may be in the county or city where the subsequent marriage occurred or where the parties to the subsequent marriage cohabited.</p><p>Code 1919, §§ 4540, 5089; 1976, c. 356; 2003, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?031+ful+CHAP0099'>99</a>; 2020, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0900'>900</a>.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§§ 20-41, 20-42|Repealed.|<p>Repealed by Acts 1975, c. 589.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-43|Bigamous marriages void without decree.|<p>All marriages that are prohibited by law on account of either of the parties having a former spouse then living shall be absolutely void, without any decree of divorce or other legal process.</p><p>Code 1919, § 5087; 2020, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0900'>900</a>.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-44|Repealed.|<p>Repealed by Acts 1975, c. 589.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-45|Repealed.|<p>Repealed by Acts 1975, c. 644.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-45.1|Void and voidable marriages.|<p>A. All marriages that are prohibited by § <a href='http://law.lis.virginia.gov/vacode/20-38.1/'>20-38.1</a> are void.</p><p>B. All marriages solemnized when either of the parties lacked capacity to consent to the marriage at the time the marriage was solemnized, because of mental incapacity or infirmity, shall be void from the time they shall be so declared by a decree of divorce or nullity.</p><p>C. All marriages solemnized on or after July 1, 2016, when either or both of the parties were, at the time of the solemnization, under the age of 18 and have not been emancipated as required by § <a href='http://law.lis.virginia.gov/vacode/20-48/'>20-48</a> shall be void from the time they shall be so declared by a decree of divorce or nullity. Notwithstanding the foregoing, this section shall not apply to a lawful marriage entered in another state or country prior to the parties being domiciled in the Commonwealth.</p><p>1975, c. 644; 2016, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0457'>457</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0543'>543</a>.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§§ 20-45.2, 20-45.3|Repealed.|<p>Repealed by Acts 2020, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0075'>75</a> and <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0195'>195</a>, cl. 1, and c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+CHAP0900'>900</a>, cl. 2.</p><p></p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§§ 20-46, 20-47|Repealed.|<p>Repealed by Acts 1985, c. 421.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-48|Minimum age of marriage.|<p>The minimum age at which persons may marry shall be 18, unless a minor has been emancipated by court order. Upon application for a marriage license, an emancipated minor shall provide a certified copy of the order of emancipation.</p><p>Code 1919, § 5090; 1932, p. 529; 1942, p. 230; 1946, p. 500; 1960, c. 363; 1972, c. 823; 1974, cc. 44, 45; 1975, c. 644; 1989, c. 733; 2008, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0174'>174</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0206'>206</a>; 2016, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0457'>457</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0543'>543</a>.</p>
20|DOMESTIC RELATIONS|||||3|UNLAWFUL MARRIAGES GENERALLY|||||§ 20-49|Repealed.|<p>Repealed by Acts 2016, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0457'>457</a> and <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?161+ful+CHAP0543'>543</a>, cl. 2.</p>
20|DOMESTIC RELATIONS|||||3.1|PROCEEDINGS TO DETERMINE PARENTAGE|||||§ 20-49.1|How parent and child relationship established.|<p>A. The parent and child relationship between a child and a woman may be established prima facie by proof of her having given birth to the child, or as otherwise provided in this chapter.</p><p>B. The parent and child relationship between a child and a man may be established by:</p><p>1. Scientifically reliable genetic tests, including blood tests, which affirm at least a ninety-eight percent probability of paternity. Such genetic test results shall have the same legal effect as a judgment entered pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-49.8/'>20-49.8</a>.</p><p>2. A voluntary written statement of the father and mother made under oath acknowledging paternity and confirming that prior to signing the acknowledgment, the parties were provided with a written and oral description of the rights and responsibilities of acknowledging paternity and the consequences arising from a signed acknowledgment, including the right to rescind. The acknowledgement may be rescinded by either party within sixty days from the date on which it was signed unless an administrative or judicial order relating to the child in an action to which the party seeking rescission was a party is entered prior to the rescission. A written statement shall have the same legal effect as a judgment entered pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-49.8/'>20-49.8</a> and shall be binding and conclusive unless, in a subsequent judicial proceeding, the person challenging the statement establishes that the statement resulted from fraud, duress or a material mistake of fact. In any subsequent proceeding in which a statement acknowledging paternity is subject to challenge, the legal responsibilities of any person signing it shall not be suspended during the pendency of the proceeding, except for good cause shown. Written acknowledgments of paternity made under oath by the father and mother prior to July 1, 1990, shall have the same legal effect as a judgment entered pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-49.8/'>20-49.8</a>.</p><p>3. In the absence of such acknowledgment or if the probability of paternity is less than ninety-eight percent, such relationship may be established as otherwise provided in this chapter.</p><p>C. The parent and child relationship between a child and an adoptive parent may be established by proof of lawful adoption.</p><p>1988, cc. 866, 878; 1990, c. 836; 1992, c. 516; 1997, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0792'>792</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0896'>896</a>; 1998, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0884'>884</a>.</p>
20|DOMESTIC RELATIONS|||||3.1|PROCEEDINGS TO DETERMINE PARENTAGE|||||§ 20-49.2|Commencement of action; parties; jurisdiction.|<p>Proceedings under this chapter may be instituted upon petition, verified by oath or affirmation, filed by a child, a parent, a person claiming parentage, a person standing in loco parentis to the child or having legal custody of the child or a representative of the Department of Social Services or the Department of Juvenile Justice.</p><p>The child may be made a party to the action, and if he is a minor and is made a party, he shall be represented by a guardian ad litem appointed by the court in accordance with the procedures specified in § <a href='http://law.lis.virginia.gov/vacode/16.1-266/'>16.1-266</a> or § <a href='http://law.lis.virginia.gov/vacode/8.01-9/'>8.01-9</a>. The child's mother or father may not represent the child as guardian or otherwise. The determination of the court under the provisions of this chapter shall not be binding on any person who is not a party.</p><p>The circuit courts shall have concurrent original jurisdiction of cases arising under this chapter with the juvenile and domestic relations district courts when the parentage of a child is at issue in any matter otherwise before the circuit court. The determination of parentage, when raised in any proceeding, shall be governed by this chapter.</p><p>1988, cc. 866, 878; 1989, c. 368; 2008, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0164'>164</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?081+ful+CHAP0201'>201</a>.</p>
20|DOMESTIC RELATIONS|||||3.1|PROCEEDINGS TO DETERMINE PARENTAGE|||||§ 20-49.3|Admission of genetic tests.|<p>A. In the trial of any matter in any court in which the question of parentage arises, the court, upon its own motion or upon motion of either party, may and, in cases in which child support is in issue, shall direct and order that the alleged parents and the child submit to scientifically reliable genetic tests including blood tests. The motion of a party shall be accompanied by a sworn statement either (i) alleging paternity and setting forth facts establishing a reasonable possibility of the requisite sexual contact between the parties or (ii) denying paternity.</p><p>B. The court shall require the person requesting such genetic test, including a blood test, to pay the cost. However, if such person is indigent, the Commonwealth shall pay for the test. The court may, in its discretion, assess the costs of the test to the party or parties determined to be the parent or parents.</p><p>C. The results of a scientifically reliable genetic test, including a blood test, may be admitted in evidence when contained in a written report prepared and sworn to by a duly qualified expert, provided the written results are filed with the clerk of the court hearing the case at least fifteen days prior to the hearing or trial. Verified documentary evidence of the chain of custody of the blood specimens is competent evidence to establish the chain of custody. Any qualified expert performing such test outside the Commonwealth shall consent to service of process through the Secretary of the Commonwealth by filing with the clerk of the court the written results. Upon motion of any party in interest, the court may require the person making the analysis to appear as a witness and be subject to cross-examination, provided that the motion is made at least seven days prior to the hearing or trial. The court may require the person making the motion to pay into court the anticipated costs and fees of the witness or adequate security for such costs and fees.</p><p>1988, cc. 866, 878; 1989, c. 598; 1992, c. 516; 1997, cc. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0792'>792</a>, <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?971+ful+CHAP0896'>896</a>.</p>
20|DOMESTIC RELATIONS|||||3.1|PROCEEDINGS TO DETERMINE PARENTAGE|||||§ 20-49.4|Evidence relating to parentage.|<p>The standard of proof in any action to establish parentage shall be by clear and convincing evidence. All relevant evidence on the issue of paternity shall be admissible. Such evidence may include, but shall not be limited to, the following:</p><p>1. Evidence of open cohabitation or sexual intercourse between the known parent and the alleged parent at the probable time of conception;</p><p>2. Medical or anthropological evidence relating to the alleged parentage of the child based on tests performed by experts. If a person has been identified by the mother as the putative father of the child, the court may, and upon request of a party shall, require the child, the known parent, and the alleged parent to submit to appropriate tests;</p><p>3. The results of scientifically reliable genetic tests, including blood tests, if available, weighted with all the evidence;</p><p>4. Evidence of the alleged parent consenting to or acknowledging, by a general course of conduct, the common use of such parent's surname by the child;</p><p>5. Evidence of the alleged parent claiming the child as his child on any statement, tax return or other document filed by him with any state, local or federal government or any agency thereof;</p><p>6. A true copy of an acknowledgment pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-49.5/'>20-49.5</a>; and</p><p>7. An admission by a male between the ages of fourteen and eighteen pursuant to § <a href='http://law.lis.virginia.gov/vacode/20-49.6/'>20-49.6</a>.</p><p>1988, cc. 866, 878; 1992, c. 516.</p>
20|DOMESTIC RELATIONS|||||3.1|PROCEEDINGS TO DETERMINE PARENTAGE|||||§ 20-49.5|Support of children of unwed parents by the father; testimony under oath.|<p>Whenever in any legal proceedings a man voluntarily testifies under oath or affirmation that he is the father of a child whose parents are not married, or are not married to each other, the court may require that he complete an acknowledgment of paternity on a form provided by the Department of Social Services. This acknowledgment shall be sent by the clerk of the court within thirty days of completion to the Department of Social Services.</p><p>In any proceeding under this chapter, the petitioner may request a true copy of this form from the Department of Social Services and the Department shall remit such form to the court where the petition has been filed. Such true copy of an acknowledgment of paternity shall then be admissible in any proceeding under this chapter.</p><p>1988, cc. 866, 878.</p>
