41.1|LAND OFFICE|||||||||||§ 41.1-10|Same; order of court for survey.|<p>When the suit is ready for hearing, the court may make an order of survey, to be executed by such person as the court may appoint, requiring a complete survey and plat of the land in question to be made and returned, showing its connection with conterminous tracts, and any other circumstances necessary for its thorough identification.</p><p>Code 1950, § 41-69; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-11|Same; when and how testimony taken.|<p>Upon the return of such survey and plat, testimony may be taken as in other suits in equity, but no notice of the taking of such testimony need be given to any defendant who has not appeared and answered the bill.</p><p>Code 1950, § 41-70; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-12|Same; ownership certified by court; order as to costs.|<p>If, upon such survey and plat, and upon the other facts in the cause, the court shall be clearly satisfied of the ownership of the tract or parcel of land shown by such survey and plat, and that there is no controversy about such ownership, it shall certify the same of record, and shall make such order concerning the costs as may seem proper.</p><p>Code 1950, § 41-71; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-13|Bill in equity for repeal of grant.|<p>The Commonwealth, or any other party desiring to repeal, in whole or in part, any grant of land because it was obtained by fraud, or issued contrary to law, or to the prejudice of such party's equitable right, may file a bill in equity for that purpose in the circuit court of the county, or the circuit court of the city, in which the land, or some part thereof, lies, exhibiting with the bill a certified copy of the patent, and making all proper parties.</p><p>Code 1950, § 41-75; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-14|Nature of proceedings for repeal of grant.|<p>The proceedings thereupon shall be as in other suits in equity, and on the final hearing the court shall make such decree as law and equity may require.</p><p>Code 1950, § 41-76; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-15|Recording decree of repeal.|<p>Any decree for such repeal, in whole or in part, shall be certified to the Librarian of Virginia, and shall thereupon be recorded by the Librarian of Virginia in the manner prescribed in &sect; <a href="/vacode/55.1-2423/">55.1-2423</a>.</p><p>Code 1950, &sect; 41-77; 1970, c. 291; 1982, c. 565; 1998, c. <a href="http://lis.virginia.gov/cgi-bin/legp604.exe?981+ful+CHAP0427">427</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-16|Sale of wastelands; proceeding by citizen resident; motion and deposit for costs; parties; copy of plat.|<p>Any citizen, resident of this Commonwealth, who has reason to believe that there are waste and unappropriated lands in this Commonwealth (not being excluded under § <a href='http://law.lis.virginia.gov/vacode/41.1-3/'>41.1-3</a> from grant), shall have the right to file a proceeding in the name of the county or city seeking the sale and disposition of such land. The venue for such a proceeding shall be as specified in subdivision 3 of § <a href='http://law.lis.virginia.gov/vacode/8.01-261/'>8.01-261</a>. The proceeding shall be instituted by motion signed by the party who institutes the proceeding, or on his behalf, and shall be accompanied with a deposit to cover the costs of the proceeding but in no event to exceed $100. Each landowner adjoining the tract in question shall be made a party to the proceedings.</p><p>He shall file with the motion a copy of a plat prepared by a licensed land surveyor giving the metes and bounds of the land alleged to be waste and unappropriated. A copy of the motion and plat shall be served upon each of the landowners adjoining the tract in question.</p><p>Code 1950, § 41-84; 1952, c. 185; 1970, c. 291; 1977, c. 624; 1995, c. <a href='http://lis.virginia.gov/cgi-bin/legp604.exe?951+ful+CHAP0850'>850</a>.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-17|Same; time and place of hearing.|<p>Upon the docketing of the motion, the court shall set a time and place to hear the merits of the proceeding. Such hearing shall be held not less than thirty nor more than sixty days from the date upon which the same was filed.</p><p>Code 1950, § 41-85; 1952, c. 185; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-18|Same; subsequent proceedings; disposition of proceeds of sale.|<p>Thereafter the proceedings shall conform, mutatis mutandis, to the provisions of Article 4 (§ <a href='http://law.lis.virginia.gov/vacode/58.1-3965/'>58.1-3965</a> et seq.) of Chapter 39 of Title 58.1 but on the motion of any party the sale of such land shall be public. From the proceeds of sale, after the expenses of suit and other costs incident to the sale, the person instituting the proceeding shall be reimbursed his deposit and costs expended up to the time the proceeding is docketed; but if such proceeds be insufficient to pay the expenses of suit and other costs incidental to the sale, the deficiency shall be paid by the person, county or city instituting the suit. The remainder left from the proceeds of sale after the payment of costs, expenses of suit and other expenses of sale shall be paid into the treasury of the county or city, as the case may be.</p><p>Code 1950, § 41-87; 1952, c. 185; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-19|Same; proceedings by governing body of county or city.|<p>The governing body of the county or city in which any waste or unappropriated land lies may, without deposit of costs, initiate proceedings under this chapter to have such lands sold under the provisions hereof.</p><p>Code 1950, § 41-88; 1952, c. 185; 1970, c. 291.</p>
41.1|LAND OFFICE|||||||||||§ 41.1-20|Same; sale extinguishes title and interest of Commonwealth.|<p>All right, title and interest of the Commonwealth, except as shown by an instrument recorded in the clerk's office of the court of the city or county in which deeds are admitted to record in which land is sold under the provisions hereof shall be extinguished by such sale.</p><p>Code 1950, § 41-89; 1952, c. 185; 1970, c. 291.</p>
